Start	End	Rate
8	1753	2.862298633192708e-08
1753	1822	2.6792589113012385e-08
1822	4266	2.496219189409769e-08
4266	4287	2.2862972784810084e-08
4287	6968	2.0763753675522477e-08
6968	7019	1.1874112741943361e-08
7019	10060	2.9844718083642463e-09
10060	10354	2.5915821563750116e-09
10354	14065	2.1986925043857773e-09
14065	14097	2.777542702047459e-09
14097	17189	3.356392899709141e-09
17189	17317	2.4995220447667508e-09
17317	19643	1.6426511898243602e-09
19643	19728	1.639996575414189e-09
19728	21384	1.6373419610040177e-09
21384	21530	1.622072220885295e-09
21530	23457	1.6068024807665722e-09
23457	23459	1.570533949136311e-09
23459	25663	1.5342654175060498e-09
25663	25664	1.951793764133751e-09
25664	27422	2.3693221107614524e-09
27422	27460	2.198367635944187e-09
27460	31109	2.0274131611269217e-09
31109	31152	4.292251363308895e-09
31152	33598	6.557089565490868e-09
33598	33643	3.989278585687952e-09
33643	36957	1.421467605885036e-09
36957	36995	2.0812287640348668e-09
36995	39715	2.740989922184698e-09
39715	39724	1.1224504394207175e-08
39724	42222	1.970801886622965e-08
42222	42246	2.153847408791079e-07
42246	45023	4.147696677816039e-07
45023	45092	2.3746413229017974e-07
45092	47037	6.015859679875558e-08
47037	47056	3.470642424137027e-08
47056	49981	6.929611786579713e-09
49981	50040	4.68584572006858e-09
50040	52980	2.442079653557446e-09
52980	52986	2.4021193195629974e-09
52986	55221	2.3621589855685493e-09
55221	55239	2.8840945598172764e-09
55239	57694	3.406030134066003e-09
57694	57735	5.787590285268242e-09
57735	59668	8.169150436470481e-09
59668	59681	1.0593132456209977e-08
59681	62479	1.301711447594947e-08
62479	62494	7.710987097072065e-09
62494	64813	2.40485971819466e-09
64813	64921	2.2357312324996364e-09
64921	67482	2.066602746804613e-09
67482	67562	1.88792293970471e-09
67562	69543	1.709243132604807e-09
69543	69592	1.655216893942114e-09
69592	71693	1.601190655279421e-09
71693	71731	2.428935509088896e-09
71731	74588	3.2566803628983705e-09
74588	74637	2.947686867065394e-09
74637	76466	2.6386933712324177e-09
76466	76480	7.0245226369358015e-09
76480	79196	1.1410351902639185e-08
79196	79198	1.4242199512613133e-08
79198	81288	1.707404712258708e-08
81288	81330	1.3296649479689744e-08
81330	83351	9.519251836792405e-09
83351	83357	7.690299743786401e-09
83357	85502	5.861347650780397e-09
85502	85527	9.754266219691233e-09
85527	87447	1.3647184788602069e-08
87447	87562	1.801568438977303e-08
87562	89518	2.238418399094399e-08
89518	89545	6.826224700615596e-08
89545	92036	1.0990988939328301e-07
92036	92045	8.0109416348219e-08
92045	94662	5.030894330315498e-08
94662	94850	3.12239770631448e-08
94850	96926	9.990149422695763e-09
96926	96942	6.678122547710568e-09
96942	99578	3.3660956727253725e-09
