Start	End	Rate
205	1200	2.263060404476786e-09
1200	2451	2.21322423613332e-09
2451	3181	2.1220969713432022e-09
3181	3716	5.453470027372382e-09
3716	4721	4.424366878149725e-09
4721	5801	6.02463286983977e-09
5801	7250	4.6441423161629305e-09
7250	8424	2.8723210220867123e-09
8424	8949	2.8723210220867123e-09
8949	9634	2.8723210220867123e-09
9634	10446	2.8723210220867123e-09
10446	10960	6.193868070610096e-07
10960	11734	6.193868070610096e-07
11734	12417	6.193868070610096e-07
12417	12880	6.193868070610096e-07
12880	13731	6.193868070610096e-07
13731	14289	4.792715073088905e-07
14289	15186	4.792715073088905e-07
15186	16347	4.792715073088905e-07
16347	17226	1.681203588378113e-08
17226	17924	2.4876859545251003e-09
17924	18281	2.2779354615325036e-09
18281	19123	2.0924945359736426e-09
19123	20327	2.0624361289311318e-09
20327	21495	2.0624361289311318e-09
21495	22360	2.0624361289311318e-09
22360	23098	2.420580745732516e-09
23098	24070	2.3520363342572915e-09
24070	25004	2.3520363342572915e-09
25004	25993	2.3520363342572915e-09
25993	26568	3.201736621943742e-09
26568	27420	2.9421110235015824e-09
27420	28194	2.8430696623144004e-09
28194	28564	7.175399815046446e-09
28564	29138	5.7719313102973315e-09
29138	30182	5.813982055321964e-09
30182	30991	2.5290013226676913e-09
30991	31696	2.5290013226676913e-09
31696	32523	2.81677445523582e-09
32523	33503	2.7089626027712686e-09
33503	34289	2.7089626027712686e-09
34289	34826	3.469192701512394e-09
34826	35344	3.4395110391106794e-09
35344	36295	2.5573158412929785e-09
36295	36694	2.637861222121104e-09
36694	37238	2.6152097986680734e-09
37238	37762	2.4188330340027452e-09
37762	39310	2.3194671720012478e-09
39310	40111	2.3194671720012478e-09
40111	40677	2.6762371816518413e-09
40677	41487	2.555365180849582e-09
41487	42234	2.3372677340189316e-09
42234	43196	2.357553660868263e-09
43196	43843	2.1688069176265442e-09
43843	44941	2.1688069176265442e-09
44941	45801	2.1688069176265442e-09
45801	46506	2.1688069176265442e-09
46506	47904	2.1688069176265442e-09
47904	48475	2.1688069176265442e-09
48475	49224	2.1688069176265442e-09
49224	50090	2.1688069176265442e-09
50090	50760	5.76036866359447e-07
50760	51171	5.76036866359447e-07
51171	52230	5.76036866359447e-07
52230	52933	5.221932114882506e-07
52933	53586	5.221932114882506e-07
53586	54275	5.221932114882506e-07
54275	55568	9.340657948463004e-09
55568	56216	2.7519855575797934e-09
56216	57339	2.7288219539183834e-09
57339	58090	2.7288219539183834e-09
58090	58492	3.066906089802077e-09
58492	59413	2.4876859545251003e-09
59413	59912	2.8904950406331337e-09
59912	60657	2.774013595440631e-09
60657	61435	2.774013595440631e-09
61435	62573	2.774013595440631e-09
62573	62897	4.0954569096501244e-09
62897	63686	3.2253694660723383e-09
63686	64188	3.5639188852061724e-09
64188	64725	2.954218476273194e-09
64725	65144	3.1105698719533907e-09
65144	66137	2.7325316085593816e-09
66137	66510	2.8286662697104997e-09
66510	67600	2.4387894337008993e-09
67600	68093	2.4182510241293084e-09
68093	68934	2.4182510241293084e-09
68934	69774	2.4182510241293084e-09
69774	70676	4.7728465938921194e-08
70676	71788	3.8048935812679416e-08
71788	72406	4.067914967187947e-08
72406	72924	2.269191974775662e-08
72924	74275	2.2373667088783187e-08
74275	75223	9.269311742016514e-09
75223	76307	2.5625321918106594e-09
76307	77000	2.5625321918106594e-09
77000	77666	7.052774008829596e-09
77666	78617	5.243294273134437e-09
78617	79172	6.494730378204963e-09
79172	79852	5.311399029907704e-09
79852	80758	1.363855510419515e-09
80758	82037	1.363855510419515e-09
82037	83478	1.363855510419515e-09
83478	85963	1.363855510419515e-09
85963	87277	1.363855510419515e-09
87277	87941	2.7038609782839402e-09
87941	88975	2.6729391639046292e-09
88975	89489	2.5157074483808277e-09
89489	90123	2.244862911834131e-09
90123	91026	2.1891202910654337e-09
91026	91711	2.016098546896972e-09
91711	93011	1.868076441687994e-09
93011	94200	1.8488320927669989e-09
94200	99904	1.7619655077632198e-09
